,BTC-USD,ETH-USD,DOGE-USD,ADA-USD,SOL-USD,SHIB-USD,XRP-USD
18/6/2021,0,1,0,1,0,0,1
19/6/2021,0,1,0,1,0,0,1
20/6/2021,1,1,0,1,0,0,0
21/6/2021,1,0,0,1,0,0,0
22/6/2021,0,1,0,1,0,0,0
23/6/2021,0,1,0,1,0,0,1
24/6/2021,0,0,0,1,0,0,0
25/6/2021,0,0,0,1,0,0,0
26/6/2021,0,0,0,1,0,0,0
27/6/2021,0,1,0,1,0,0,0
28/6/2021,1,1,0,1,1,0,1
29/6/2021,1,1,0,1,0,0,1
30/6/2021,0,1,0,1,0,0,1
1/7/2021,0,1,0,1,0,0,1
2/7/2021,0,1,0,1,0,0,1
3/7/2021,1,1,0,1,1,0,1
4/7/2021,0,1,0,1,0,0,1
5/7/2021,1,1,0,1,0,0,1
6/7/2021,1,1,0,1,0,0,1
7/7/2021,1,0,1,1,0,0,1
8/7/2021,0,0,0,1,0,0,1
9/7/2021,1,1,0,1,0,0,1
10/7/2021,1,1,1,1,0,0,0
11/7/2021,1,1,0,1,0,0,1
12/7/2021,0,0,0,1,0,0,0
13/7/2021,1,1,0,1,0,0,0
14/7/2021,0,0,0,1,0,0,0
15/7/2021,0,0,0,1,0,0,1
16/7/2021,0,0,0,1,0,0,0
17/7/2021,0,0,0,1,0,0,0
18/7/2021,1,0,0,1,0,0,1
19/7/2021,1,1,0,1,0,0,0
20/7/2021,1,0,0,1,0,0,0
21/7/2021,0,0,0,1,0,0,0
22/7/2021,0,1,0,1,0,0,1
23/7/2021,0,1,0,1,0,0,1
24/7/2021,0,1,1,1,1,0,1
25/7/2021,0,1,0,1,0,0,1
26/7/2021,1,1,0,1,1,0,1
28/7/2021,0,1,0,1,1,0,1
29/7/2021,0,1,1,1,1,0,1
30/7/2021,1,1,1,1,1,0,1
31/7/2021,1,1,0,1,1,0,1
1/8/2021,1,1,0,1,1,0,1
2/8/2021,1,1,0,1,0,0,1
3/8/2021,0,1,0,1,0,0,1
4/8/2021,1,1,0,1,0,0,1
5/8/2021,1,1,1,1,0,0,1
12/8/2021,1,1,1,1,1,0,1
13/8/2021,1,1,1,1,1,0,1
14/8/2021,0,1,0,1,1,0,1
15/8/2021,0,1,0,1,1,0,1
16/8/2021,0,1,0,1,1,0,1
17/8/2021,0,0,0,1,1,0,0
18/8/2021,0,0,1,1,1,0,0
19/8/2021,1,1,1,1,1,1,1
20/8/2021,1,1,0,1,1,1,1
21/8/2021,1,1,1,1,1,0,0
22/8/2021,1,1,0,1,0,0,1
23/8/2021,0,1,1,1,0,0,1
24/8/2021,0,1,1,1,0,1,1
27/8/2021,0,0,1,1,0,0,1
28/8/2021,0,1,1,1,0,0,1
29/8/2021,0,0,1,1,0,0,1
31/8/2021,1,0,0,1,0,0,1
1/9/2021,1,0,1,1,1,0,1
2/9/2021,1,1,1,1,1,0,1
3/9/2021,0,1,0,1,1,1,1
5/9/2021,0,1,0,1,1,1,1
6/9/2021,0,1,0,1,1,0,1
7/9/2021,1,0,0,1,0,0,0
8/9/2021,1,0,0,1,0,0,1
9/9/2021,0,0,1,1,0,0,1
10/9/2021,0,0,0,1,0,0,1
11/9/2021,0,0,0,1,0,0,1
12/9/2021,0,0,0,1,0,0,0
13/9/2021,1,0,1,1,0,0,0
15/9/2021,1,1,0,1,0,0,1
18/9/2021,1,1,0,1,0,0,1
19/9/2021,1,1,0,1,0,0,1
20/9/2021,0,1,0,1,0,0,1
21/9/2021,1,1,0,1,0,0,0
23/9/2021,0,0,0,1,0,0,0
24/9/2021,1,0,1,1,0,0,0
25/9/2021,1,0,0,1,0,0,0
26/9/2021,0,0,0,1,0,0,0
27/9/2021,1,0,0,1,0,0,0
28/9/2021,1,1,0,1,0,0,1
29/9/2021,1,0,0,1,0,0,0
30/9/2021,1,0,0,1,0,0,0
1/10/2021,1,1,1,1,1,0,1
2/10/2021,1,1,1,1,1,0,1
3/10/2021,1,1,0,1,1,0,1
4/10/2021,1,1,0,1,1,0,1
5/10/2021,1,1,0,1,1,0,1
6/10/2021,1,1,0,1,0,1,1
7/10/2021,1,1,0,1,0,1,1
8/10/2021,1,1,0,1,1,0,1
9/10/2021,1,1,0,1,0,1,1
11/10/2021,1,1,0,1,0,1,1
12/10/2021,1,1,0,1,0,1,0
13/10/2021,1,1,0,1,0,1,1
14/10/2021,1,1,0,1,0,0,1
15/10/2021,0,1,0,1,0,0,1
16/10/2021,0,1,0,1,0,0,1
17/10/2021,0,1,1,1,1,0,1
18/10/2021,0,1,0,1,1,0,1
19/10/2021,0,1,0,1,1,0,1
20/10/2021,0,1,0,1,1,0,1
21/10/2021,0,1,0,1,1,0,1
22/10/2021,0,1,0,1,1,0,1
23/10/2021,0,1,0,1,1,0,1
25/10/2021,1,1,0,1,0,1,1
26/10/2021,0,1,0,1,1,1,1
28/10/2021,0,1,1,1,1,0,1
