,BTC-USD,date
31/1/2020,1,31/1/2020
1/2/2020,1,1/2/2020
2/2/2020,1,2/2/2020
3/2/2020,1,3/2/2020
4/2/2020,1,4/2/2020
5/2/2020,1,5/2/2020
6/2/2020,1,6/2/2020
7/2/2020,1,7/2/2020
8/2/2020,1,8/2/2020
9/2/2020,1,9/2/2020
10/2/2020,1,10/2/2020
11/2/2020,1,11/2/2020
12/2/2020,1,12/2/2020
13/2/2020,1,13/2/2020
14/2/2020,1,14/2/2020
15/2/2020,1,15/2/2020
16/2/2020,1,16/2/2020
17/2/2020,1,17/2/2020
18/2/2020,1,18/2/2020
19/2/2020,1,19/2/2020
20/2/2020,1,20/2/2020
21/2/2020,1,21/2/2020
22/2/2020,1,22/2/2020
23/2/2020,1,23/2/2020
24/2/2020,1,24/2/2020
25/2/2020,1,25/2/2020
26/2/2020,1,26/2/2020
27/2/2020,1,27/2/2020
28/2/2020,1,28/2/2020
29/2/2020,1,29/2/2020
1/3/2020,1,1/3/2020
2/3/2020,1,2/3/2020
3/3/2020,1,3/3/2020
4/3/2020,1,4/3/2020
5/3/2020,1,5/3/2020
6/3/2020,1,6/3/2020
7/3/2020,1,7/3/2020
8/3/2020,1,8/3/2020
9/3/2020,1,9/3/2020
10/3/2020,1,10/3/2020
11/3/2020,1,11/3/2020
12/3/2020,1,12/3/2020
13/3/2020,1,13/3/2020
14/3/2020,1,14/3/2020
15/3/2020,1,15/3/2020
16/3/2020,1,16/3/2020
17/3/2020,1,17/3/2020
18/3/2020,1,18/3/2020
19/3/2020,1,19/3/2020
20/3/2020,1,20/3/2020
21/3/2020,1,21/3/2020
22/3/2020,1,22/3/2020
23/3/2020,1,23/3/2020
24/3/2020,1,24/3/2020
25/3/2020,1,25/3/2020
26/3/2020,1,26/3/2020
27/3/2020,1,27/3/2020
28/3/2020,1,28/3/2020
29/3/2020,1,29/3/2020
30/3/2020,1,30/3/2020
31/3/2020,1,31/3/2020
1/4/2020,1,1/4/2020
2/4/2020,1,2/4/2020
3/4/2020,1,3/4/2020
4/4/2020,1,4/4/2020
5/4/2020,1,5/4/2020
6/4/2020,1,6/4/2020
7/4/2020,1,7/4/2020
8/4/2020,1,8/4/2020
9/4/2020,1,9/4/2020
10/4/2020,1,10/4/2020
11/4/2020,1,11/4/2020
12/4/2020,1,12/4/2020
13/4/2020,1,13/4/2020
14/4/2020,1,14/4/2020
15/4/2020,1,15/4/2020
16/4/2020,1,16/4/2020
17/4/2020,1,17/4/2020
18/4/2020,1,18/4/2020
19/4/2020,1,19/4/2020
20/4/2020,1,20/4/2020
21/4/2020,1,21/4/2020
22/4/2020,1,22/4/2020
23/4/2020,1,23/4/2020
24/4/2020,1,24/4/2020
25/4/2020,1,25/4/2020
26/4/2020,1,26/4/2020
27/4/2020,1,27/4/2020
28/4/2020,1,28/4/2020
29/4/2020,1,29/4/2020
30/4/2020,1,30/4/2020
1/5/2020,1,1/5/2020
2/5/2020,1,2/5/2020
3/5/2020,1,3/5/2020
4/5/2020,1,4/5/2020
5/5/2020,1,5/5/2020
6/5/2020,1,6/5/2020
7/5/2020,1,7/5/2020
8/5/2020,1,8/5/2020
9/5/2020,1,9/5/2020
10/5/2020,1,10/5/2020
11/5/2020,1,11/5/2020
12/5/2020,1,12/5/2020
13/5/2020,1,13/5/2020
14/5/2020,1,14/5/2020
15/5/2020,1,15/5/2020
16/5/2020,1,16/5/2020
17/5/2020,1,17/5/2020
18/5/2020,1,18/5/2020
